kodekec,namakec
01,Cipatujah
02,Karangnunggal
03,Cikalong
04,Pancatengah
05,Cikatomas
06,Cibalong
07,Bantarkalong
08,Bojonggambir
09,Sodonghilir
10,Taraju
11,Salawu
12,Tanjungjaya
13,Sukaraja
14,Salopa
15,Cineam
16,Manonjaya
17,Singaparna
18,Cigalontang
19,Leuwisari
20,Cisayong
21,Rajapolah
22,Jamanis
23,Ciawi
24,Pagerageung
25,Parungponteng
26,Sariwangi
27,Sukaratu
28,Sukarame
29,Bojongasih
30,Culamega
31,Puspahiang
32,Jatiwaras
33,Mangunreja
34,Gunungtanjung
35,Karangjaya
36,Padakembang
37,Sukahening
38,Kadipaten
39,Sukaresik
