id,id_kab,kabupaten,id_kec,kecamatan,id_desa,desa,tahun,strata_desa_22,total_pend,total_lk,total_pr,pendatang,pend_pergi,total_kk,total_kkp,total_kkmis,total_by,total_balita,total_rmj,total_dw1,total_dw2,total_lansia,petani_lk,petani_pr,nelayan_lk,nelayan_pr,buruh_tani_lk,buruh_tani_pr,buruh_pabrik_lk,buruh_pabrik_pr,pns_lk,pns_pr,swasta_lk,swasta_pr,wiraswasta_lk,wiraswasta_pr,tni_lk,tni_pr,polri_lk,polri_pr,dokter_lk,dokter_pr,bidan,perawat_lk,perawat_pr,pekerja_lain_lk,pekerja_lain_pr,pekerja_lain,pbk_lk,pbk_pr,total_<3_thn,total_3-6_thn,total_7-12_thn,total_13-15_thn,total_16-18_thn,total_19-59_thn,total_>59_thn
21247,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022001,WANAHERANG,2023,MANDIRI,30833,14143,16690,587,235,12328,468,1987,587,1186,3882,10806,11033,3339,52,2,0,0,18,0,3510,5036,135,88,711,122,1726,192,41,2,19,0,33,34,7,1,7,6246,9318,6246,9318,15564,,,,,,,
21248,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022002,BOJONG KULUR,2023,MANDIRI,49404,24841,24563,38724,1145,12703,1365,714,722,2361,6392,24893,8706,6330,62,0,0,0,53,4,5136,2053,1034,371,7292,3780,3810,738,135,10,52,8,30,53,7,1,36,8052,14772,8052,14772,22824,,,,,,,
21249,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022003,CIANGSANA,2023,MANDIRI,29826,14822,15004,362,639,9708,396,85,576,2958,5271,9404,7851,3766,276,84,0,0,365,116,2578,1457,442,153,1525,457,1620,579,1305,141,35,12,70,11,18,5,16,2892,2752,2892,2752,5644,,,,,,,
21250,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022004,GUNUNG PUTRI,2023,MANDIRI,21120,11863,9257,254,52,6060,342,68,422,586,3745,8211,5396,2760,0,0,0,0,14,14,4977,4250,28,32,1200,1182,2349,2658,10,0,14,0,7,4,5,3,8,2657,1708,2657,1708,4365,,,,,,,
21251,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022005,BOJONG NANGKA,2023,MANDIRI,25675,12970,12705,875,286,8662,381,162,385,1237,3502,10487,8554,1510,74,7,0,0,30,10,5883,4215,158,118,3360,1935,1358,492,262,26,16,5,6,4,7,4,10,1962,1056,1962,1056,3018,,,,,,,
21252,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022006,TLAJUNG UDIK,2023,MANDIRI,59104,29872,29232,702,441,18351,2715,191,554,3575,7792,24175,20074,2934,0,0,0,0,3,1,673,1257,372,495,3515,5921,2975,2683,184,19,330,20,51,18,17,0,10,9873,5432,9873,5432,15305,,,,,,,
21253,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022007,CICADAS,2023,MANDIRI,37476,18947,18529,2480,1230,12870,140,119,1131,2860,10559,8922,12770,1234,10,5,0,0,50,10,9400,6000,115,98,2176,1157,1003,424,28,5,35,5,7,4,12,6,9,742,426,742,426,1168,,,,,,,
21254,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022008,CIKEAS UDIK,2023,MANDIRI,23273,11792,11481,95,291,8099,137,174,435,2381,4471,9956,5132,898,120,5,0,0,16,0,1239,854,49,40,98,75,7274,547,73,6,354,17,2,2,8,8,4,1891,2406,1891,2406,4297,,,,,,,
21255,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022009,NAGRAK,2023,MANDIRI,22362,11335,11027,120,20,8186,110,65,422,1120,3862,6840,8008,2110,0,0,0,0,45,15,4210,3510,136,125,2200,1825,3650,1200,262,26,12,4,4,4,6,0,8,2112,875,2112,875,2987,,,,,,,
21256,3201,KAB. BOGOR,320102,GUNUNG PUTRI,3201022010,KARANGGAN,2023,MANDIRI,23042,12070,10972,1056,1448,8557,505,107,861,1340,4457,9736,5492,1156,15,8,0,0,12,5,2000,1500,178,89,1768,590,790,409,20,3,12,5,0,3,5,4,3,200,100,200,100,300,,,,,,,
21257,3201,KAB. BOGOR,320103,CITEUREUP,3201032001,PUSPASARI,2023,MANDIRI,14369,7161,7208,132,198,3887,331,413,241,693,1837,5601,5036,761,0,0,0,0,0,0,2352,2511,105,97,1858,1359,841,234,23,1,29,2,7,9,11,9,14,2351,2556,2351,2556,4907,,,,,,,
