namakab,kodekec,namakec,idkab
BOGOR,320121,NANGGUNG,3201
BOGOR,320114,LEUWILIANG,3201
BOGOR,320139,LEUWISADENG,3201
BOGOR,320117,PAMIJAHAN,3201
BOGOR,320116,CIBUNGBULANG,3201
BOGOR,320115,CIAMPEA,3201
BOGOR,320140,TENJOLAYA,3201
BOGOR,320130,DRAMAGA,3201
BOGOR,320129,CIOMAS,3201
BOGOR,320131,TAMANSARI,3201
BOGOR,320128,CIJERUK,3201
BOGOR,320138,CIGOMBONG,3201
BOGOR,320127,CARINGIN,3201
BOGOR,320124,CIAWI,3201
BOGOR,320125,CISARUA,3201
BOGOR,320126,MEGAMENDUNG,3201
BOGOR,320104,SUKARAJA,3201
BOGOR,320105,BABAKAN MADANG,3201
BOGOR,320109,SUKAMAKMUR,3201
BOGOR,320108,CARIU,3201
BOGOR,320136,TANJUNGSARI,3201
BOGOR,320106,JONGGOL,3201
BOGOR,320107,CILEUNGSI,3201
BOGOR,320132,KLAPANUNGGAL,3201
BOGOR,320102,GUNUNG PUTRI,3201
BOGOR,320103,CITEUREUP,3201
BOGOR,320101,CIBINONG,3201
BOGOR,320113,BOJONG GEDE,3201
BOGOR,320137,TAJURHALANG,3201
BOGOR,320112,KEMANG,3201
BOGOR,320134,RANCA BUNGUR,3201
BOGOR,320110,PARUNG,3201
BOGOR,320133,CISEENG,3201
BOGOR,320111,GUNUNG SINDUR,3201
BOGOR,320118,RUMPIN,3201
BOGOR,320122,CIGUDEG,3201
BOGOR,320135,SUKAJAYA,3201
BOGOR,320119,JASINGA,3201
BOGOR,320123,TENJO,3201
BOGOR,320120,PARUNG PANJANG,3201
SUKABUMI,320222,CIEMAS,3202
SUKABUMI,320226,CIRACAP,3202
SUKABUMI,320220,WALURAN,3202
SUKABUMI,320224,SURADE,3202
SUKABUMI,320225,CIBITUNG,3202
SUKABUMI,320221,JAMPANGKULON,3202
SUKABUMI,320246,CIMANGGU,3202
SUKABUMI,320223,KALIBUNDER,3202
SUKABUMI,320245,TEGALBULEUD,3202
SUKABUMI,320243,CIDOLOG,3202
SUKABUMI,320241,SAGARANTEN,3202
SUKABUMI,320244,CIDADAP,3202
SUKABUMI,320242,CURUGKEMBAR,3202
SUKABUMI,320237,PABUARAN,3202
SUKABUMI,320207,LENGKONG,3202
SUKABUMI,320201,PALABUHANRATU,3202
SUKABUMI,320202,SIMPENAN,3202
SUKABUMI,320209,WARUNGKIARA,3202
SUKABUMI,320204,BANTARGADUNG,3202
SUKABUMI,320208,JAMPANGTENGAH,3202
SUKABUMI,320238,PURABAYA,3202
SUKABUMI,320210,CIKEMBAR,3202
SUKABUMI,320239,NYALINDUNG,3202
SUKABUMI,320240,GEGERBITUNG,3202
SUKABUMI,320233,SUKARAJA,3202
SUKABUMI,320234,KEBONPEDES,3202
SUKABUMI,320235,CIREUNGHAS,3202
SUKABUMI,320236,SUKALARANG,3202
SUKABUMI,320232,SUKABUMI,3202
SUKABUMI,320230,KADUDAMPIT,3202
SUKABUMI,320229,CISAAT,3202
SUKABUMI,320227,GUNUNGGURUH,3202
SUKABUMI,320211,CIBADAK,3202
SUKABUMI,320228,CICANTAYAN,3202
SUKABUMI,320231,CARINGIN,3202
SUKABUMI,320212,NAGRAK,3202
SUKABUMI,320247,CIAMBAR,3202
SUKABUMI,320216,CICURUG,3202
SUKABUMI,320217,CIDAHU,3202
SUKABUMI,320215,PARAKANSALAK,3202
SUKABUMI,320213,PARUNGKUDA,3202
SUKABUMI,320214,BOJONGGENTENG,3202
SUKABUMI,320218,KALAPANUNGGAL,3202
SUKABUMI,320206,CIKIDANG,3202
SUKABUMI,320205,CISOLOK,3202
SUKABUMI,320203,CIKAKAK,3202
SUKABUMI,320219,KABANDUNGAN,3202
CIANJUR,320322,AGRABINTA,3203
CIANJUR,320330,LELES,3203
CIANJUR,320321,SINDANGBARANG,3203
CIANJUR,320323,CIDAUN,3203
CIANJUR,320324,NARINGGUL,3203
CIANJUR,320320,CIBINONG,3203
CIANJUR,320326,CIKADU,3203
CIANJUR,320319,TANGGEUNG,3203
CIANJUR,320332,PASIRKUDA,3203
CIANJUR,320317,KADUPANDAK,3203
CIANJUR,320329,CIJATI,3203
CIANJUR,320316,TAKOKAK,3203
CIANJUR,320314,SUKANAGARA,3203
CIANJUR,320318,PAGELARAN,3203
CIANJUR,320315,CAMPAKA,3203
CIANJUR,320325,CAMPAKAMULYA,3203
CIANJUR,320303,CIBEBER,3203
CIANJUR,320302,WARUNGKONDANG,3203
CIANJUR,320327,GEKBRONG,3203
CIANJUR,320304,CILAKU,3203
CIANJUR,320309,SUKALUYU,3203
CIANJUR,320306,BOJONGPICUNG,3203
CIANJUR,320331,HAURWANGI,3203
CIANJUR,320305,CIRANJANG,3203
CIANJUR,320308,MANDE,3203
CIANJUR,320307,KARANGTENGAH,3203
CIANJUR,320301,CIANJUR,3203
CIANJUR,320311,CUGENANG,3203
CIANJUR,320310,PACET,3203
CIANJUR,320328,CIPANAS,3203
CIANJUR,320313,SUKARESMI,3203
CIANJUR,320312,CIKALONGKULON,3203
BANDUNG,320439,CIWIDEY,3204
BANDUNG,320440,RANCABALI,3204
BANDUNG,320438,PASIRJAMBU,3204
BANDUNG,320417,CIMAUNG,3204
BANDUNG,320415,PANGALENGAN,3204
BANDUNG,320431,KERTASARI,3204
BANDUNG,320430,PACET,3204
BANDUNG,320436,IBUN,3204
BANDUNG,320435,PASEH,3204
BANDUNG,320427,CIKANCUNG,3204
BANDUNG,320425,CICALENGKA,3204
BANDUNG,320426,NAGREG,3204
BANDUNG,320428,RANCAEKEK,3204
BANDUNG,320433,MAJALAYA,3204
BANDUNG,320434,SOLOKANJERUK,3204
BANDUNG,320429,CIPARAY,3204
BANDUNG,320432,BALEENDAH,3204
BANDUNG,320416,ARJASARI,3204
BANDUNG,320413,BANJARAN,3204
BANDUNG,320444,CANGKUANG,3204
BANDUNG,320414,PAMEUNGPEUK,3204
BANDUNG,320411,KATAPANG,3204
BANDUNG,320437,SOREANG,3204
BANDUNG,320446,KUTAWARINGIN,3204
BANDUNG,320410,MARGAASIH,3204
BANDUNG,320409,MARGAHAYU,3204
BANDUNG,320412,DAYEUHKOLOT,3204
BANDUNG,320408,BOJONGSOANG,3204
BANDUNG,320405,CILEUNYI,3204
BANDUNG,320407,CILENGKRANG,3204
BANDUNG,320406,CIMENYAN,3204
GARUT,320535,CISEWU,3205
GARUT,320536,CARINGIN,3205
GARUT,320537,TALEGONG,3205
